tool,"benchmark","budget",runs,tgen,avgcovi,avgcovb,avgcovm
"kex","GUAVA-199",30,10,6.3798,0.06666667,0,0
"kex","GUAVA-199",120,8,6.819875,0.06666667,0,0
"kex","GUAVA-200",30,9,6.25777777777778,0.13057583,0.132716051111111,0.189054725555556
"kex","GUAVA-200",120,10,8.1915,0.128467152,0.11666667,0.176119402
"kex","GUAVA-213",30,10,27.7386,0.071428576,0,0
"kex","GUAVA-213",120,7,27.1254285714286,0.071428576,0,0
"kex","GUAVA-226",30,10,8.2336,0.0159090911,0,0.013461539
"kex","GUAVA-226",120,9,7.562,0.0176767678888889,0,0.0149572655555556
"kex","GUAVA-227",30,10,5.6616,0.0625,0,0
"kex","GUAVA-227",120,9,5.29677777777778,0.0625,0,0
"kex","GUAVA-231",30,10,31.6117,0.06,0,0
"kex","GUAVA-231",120,9,32.2108888888889,0.06,0,0
"kex","GUAVA-232",30,10,10.6948,0.1571428608,0.1183333385,0
"kex","GUAVA-232",120,10,11.0438,0.1078571458,0.0883333365,0
"kex","GUAVA-237",30,10,28.8812,0.346341472,0.373333344,0.03875
"kex","GUAVA-237",120,8,27.5725,0.36432926375,0.39166667,0
"kex","GUAVA-254",30,9,6.236,0.48837208,0.42857143,0.51515152
"kex","GUAVA-254",120,9,6.36244444444444,0.48837208,0.42857143,0.51515152
"kex","GUAVA-267",30,9,16.0611111111111,0.242344693333333,0.282051292222222,0.259722222222222
"kex","GUAVA-267",120,8,15.464375,0.24015746625,0.27884616375,0.25625
"kex","GUAVA-273",30,10,25.9017,0.0546875,0.018518518,0
"kex","GUAVA-273",120,8,26.140875,0.0576171875,0.02083333275,0
"kex","GUAVA-46",30,10,10.8017,0.46226414,0.275471692,0.371875
"kex","GUAVA-46",120,7,10.972,0.46226414,0.274932608571429,0.455357142857143
"kex","GUAVA-61",30,10,11.5775,0.02247191,0,0
"kex","GUAVA-61",120,10,12.0368,0.02247191,0,0
"kex","GUAVA-71",30,10,5.9514,0.14285715,0,0
"kex","GUAVA-71",120,7,5.685,0.14285715,0,0
"kex","GUAVA-82",30,9,7.78144444444444,0.6407767,0.6617647,0.7368421
"kex","GUAVA-82",120,7,8.196,0.6407767,0.6617647,0.7368421
"kex","GUAVA-96",30,8,12.2955,0.032051284,0,0.027027028
"kex","GUAVA-96",120,10,12.187,0.032051284,0,0.027027028
"randoop","GUAVA-108",30,10,31.631,0.677686,0.59183674,0.7603306
"randoop","GUAVA-108",120,7,122.329142857143,0.697756805714286,0.635568492857143,0.780401428571429
"randoop","GUAVA-11",30,10,31.4876,1,1,1
"randoop","GUAVA-11",120,8,122.1805,1,1,1
"randoop","GUAVA-118",30,10,31.6952,0.6315789,0.5,0.7272727
"randoop","GUAVA-118",120,6,122.623833333333,0.6315789,0.5,0.7272727
"randoop","GUAVA-128",30,10,31.6696,0.942253516,0.772973,0
"randoop","GUAVA-128",120,7,122.556285714286,0.96830986,0.847490371428572,0
"randoop","GUAVA-134",30,10,1.1934,0,0,0
"randoop","GUAVA-134",120,8,1.231625,0,0,0
"randoop","GUAVA-148",30,10,31.529,0.726923054,0.616666668,0.76170217
"randoop","GUAVA-148",120,5,122.086,0.7307692,0.625,0.7659575
"randoop","GUAVA-156",30,10,31.3115,0.072164946,0.029411764,0.071428576
"randoop","GUAVA-156",120,8,121.37975,0.072164946,0.029411764,0.071428576
