benchmark,tool,runs,tgen,texec,avgcovi,avgcovb,avgcovm
"ECLIPSECS-23","jtexpert",6,59.4,1.8,0.5034,0.4333,0.3636
"ECLIPSECS-24","jtexpert",6,91.8,1.2,0.444,0.2143,0.1163
"ECLIPSECS-25","jtexpert",6,114,6,0.8816,0.7564,0.4033
"ECLIPSECS-26","jtexpert",6,93,3,0.712,0.6923,0.6383
"ECLIPSECS-27","jtexpert",6,60.6,1.8,0.2563,0.11,0.1393
"ECLIPSECS-28","jtexpert",6,72.6,4.8,0.7962,0.8205,0.4286
"GUAVA-29","jtexpert",6,32.4,0.6,0,0,0
"GUAVA-30","jtexpert",6,57,0.6,0,0,0
"GUAVA-31","jtexpert",6,22.2,0.6,0,0,0
"GUAVA-32","jtexpert",6,53.4,0.6,0,0,0
"GUAVA-33","jtexpert",6,41.4,0.6,0,0,0
"GUAVA-34","jtexpert",6,22.8,0.6,0,0,0
"GUAVA-35","jtexpert",6,22.8,0.6,0,0,0
"HIBERNATE-36","jtexpert",6,12,1.2,0.6667,0,0
"HIBERNATE-37","jtexpert",6,9.6,1.2,0.9833,0,0
"HIBERNATE-38","jtexpert",6,54,3,0.8421,0.8125,0.7
"HIBERNATE-39","jtexpert",6,22.8,1.2,0.9915,0.9167,0.7083
"HIBERNATE-40","jtexpert",6,22.8,1.2,1,1,0.75
"HIBERNATE-41","jtexpert",6,31.8,1.2,0.5625,0,0.5
"HIBERNATE-42","jtexpert",6,10.8,1.2,1,0,0.2222
"JWPL-43","jtexpert",6,195,0.6,0,0,0
"JWPL-44","jtexpert",6,151.8,0.6,0.0557,0,0
"JWPL-45","jtexpert",6,165.6,1.2,0.0025,0.0067,0.0267
"JWPL-46","jtexpert",6,159.6,0.6,0.0912,0,0.0521
"JWPL-47","jtexpert",6,170.4,0.6,0.084,0.0388,0
"JWPL-48","jtexpert",6,35.4,1.8,0.9198,0.75,0.9048
"JWPL-49","jtexpert",6,172.2,0.6,0.0192,0.02,0
"ASYNCHTTP-50","jtexpert",6,214.8,9.6,0.6686,0.4514,0.5385
"ASYNCHTTP-51","jtexpert",6,72.6,10.2,0.8587,0.4778,0.5621
"ASYNCHTTP-52","jtexpert",6,239.4,7.2,0.779,0.7437,0.7104
"ASYNCHTTP-53","jtexpert",6,205.2,6.6,0.7741,0.7345,0.6919
"ASYNCHTTP-54","jtexpert",6,46.2,7.8,0.8915,0.5169,0.3507
"ASYNCHTTP-55","jtexpert",6,231,9.6,0.725,0.5355,0.5399
"ASYNCHTTP-56","jtexpert",6,162.6,22.8,0.8496,0.5765,0.4739
"SCRIBE-57","jtexpert",6,6,1.8,0.9114,1,0.6667
"SCRIBE-58","jtexpert",6,30.6,1.2,1,0.7917,0.8
"SCRIBE-59","jtexpert",6,25.8,2.4,1,0.9537,0.8043
"SCRIBE-60","jtexpert",6,48,4.2,0.5754,0.4545,0.3798
"SCRIBE-61","jtexpert",6,25.2,0.6,0.0177,0,0
"SCRIBE-62","jtexpert",6,8.4,2.4,0.958,0.7708,0.5909
"SCRIBE-63","jtexpert",6,4.2,0.6,1,0,0.4167
"GDATA-1","ct",6,96,1.2,0.0038,0,0
"GDATA-2","ct",6,56.4,1.2,0.4977,0.2429,0
"GDATA-3","ct",6,51.6,1.2,0.129,0.0227,0
"GDATA-4","ct",6,62.4,1.2,0.4257,0.3514,0
"GDATA-5","ct",6,52.8,1.2,0.2427,0.0682,0
"GDATA-6","ct",6,51.6,0.6,0.329,0.1786,0.5
"GDATA-7","ct",6,426.6,1.8,0.4059,0.2727,0
"JMLL-8","ct",6,110.4,1.2,0,0,0
"JMLL-9","ct",6,43.2,0.6,0.6154,0,0.2903
"JMLL-10","ct",6,60.6,1.2,0.2149,0.125,0
"JMLL-11","ct",6,46.8,1.2,0.6793,0.6875,0
"JMLL-12","ct",6,50.4,1.2,0.2075,0.1,0
"JMLL-13","ct",6,46.8,1.2,0.8395,0.5625,0
"JMLL-14","ct",6,37.8,0.6,0,0,0
"TWITTER4J-15","ct",6,39,0.6,0.7445,0.4444,0.5143
"TWITTER4J-16","ct",6,41.4,0.6,0.8085,0.4167,0.6825
"TWITTER4J-17","ct",6,42.6,0.6,0.8168,0.463,0
"TWITTER4J-18","ct",6,40.8,0.6,0.8643,0.75,0.8933
"TWITTER4J-19","ct",6,46.2,0.6,0,0,0
"TWITTER4J-20","ct",6,48.6,1.2,0.6765,0.5204,0
"TWITTER4J-21","ct",6,79.8,1.2,0,0,0
"ECLIPSECS-22","ct",6,39.6,1.2,0,0,0
"ECLIPSECS-23","ct",6,40.2,0.6,0,0,0
"ECLIPSECS-24","ct",6,39.6,1.2,0,0,0
"ECLIPSECS-25","ct",6,39.6,0.6,0,0,0
"ECLIPSECS-26","ct",6,49.2,0.6,0,0,0
"ECLIPSECS-27","ct",6,39,0.6,0,0,0
"ECLIPSECS-28","ct",6,52.2,0.6,0,0,0
"GUAVA-29","ct",6,81,1.2,0,0,0
"GUAVA-30","ct",6,48.6,0.6,0,0,0
"GUAVA-31","ct",6,43.2,0.6,0,0,0
"GUAVA-32","ct",6,60,0.6,0,0,0
"GUAVA-33","ct",6,184.8,0.6,0,0,0
"GUAVA-34","ct",6,61.2,0.6,0,0,0
"GUAVA-35","ct",6,48.6,0.6,0,0,0
"HIBERNATE-36","ct",6,39,1.2,1,0,0
"HIBERNATE-37","ct",6,48,0.6,0,0,0
"HIBERNATE-38","ct",6,38.4,0.6,0,0,0
"HIBERNATE-39","ct",6,45.6,0.6,0,0,0
"HIBERNATE-40","ct",6,46.2,0.6,0,0,0
"HIBERNATE-41","ct",6,37.8,0.6,0,0,0
"HIBERNATE-42","ct",6,48,0.6,0.125,0,0
"JWPL-43","ct",6,37.8,0.6,0,0,0
"JWPL-44","ct",6,36,0.6,0,0,0
"JWPL-45","ct",6,40.8,1.2,0,0,0
"JWPL-46","ct",6,37.8,0.6,0,0,0
"JWPL-47","ct",6,36,0.6,0,0,0
"JWPL-48","ct",6,35.4,1.2,0.6049,0.625,0.9286
"JWPL-49","ct",6,37.8,0.6,0,0,0
"ASYNCHTTP-50","ct",6,49.8,0.6,0,0,0
"ASYNCHTTP-51","ct",6,139.2,0.6,0,0,0
"ASYNCHTTP-52","ct",6,49.2,1.2,0.6558,0.5566,0
"ASYNCHTTP-53","ct",6,43.2,1.2,0.5577,0.4651,0
"ASYNCHTTP-54","ct",6,66.6,1.2,0.6214,0.1271,0
"ASYNCHTTP-55","ct",6,48.6,0.6,0,0,0
"ASYNCHTTP-56","ct",6,71.4,0.6,0,0,0
"SCRIBE-57","ct",6,37.2,0.6,0.9114,1,0.8889
"SCRIBE-58","ct",6,37.2,0.6,0.746,0.75,1
"SCRIBE-59","ct",6,35.4,0.6,0.4836,0.3333,0.4783
"SCRIBE-60","ct",6,43.2,1.2,0.468,0.1818,0.3256
"SCRIBE-61","ct",6,35.4,0.6,0,0,0
"SCRIBE-62","ct",6,35.4,0.6,0.7815,0.5,0.6818
"SCRIBE-63","ct",6,33.6,0.6,1,0,0.5
