benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"DUBBO-9","evosuite",6,10,16.9,0.802,0.678,0.38
"FASTJSON-10","evosuite",6,10,15.5,0.422,0.4,0.218
"FASTJSON-1","evosuite",6,10,0,0,0,0
"FASTJSON-2","evosuite",6,10,15.9,0.07,0.056,0.071
"FASTJSON-3","evosuite",6,10,6.9,0.033,0.017,0.009
"FASTJSON-4","evosuite",6,10,18.3,0.4,0.2,0.342
"FASTJSON-5","evosuite",6,10,19.2,0,0,0
"FASTJSON-6","evosuite",6,10,15.6,0.15,0.184,0.087
"FASTJSON-7","evosuite",6,10,13.9,0.537,0.436,0.157
"FASTJSON-8","evosuite",6,10,16.8,0.807,0.696,0.746
"FASTJSON-9","evosuite",6,10,15.3,0.333,0.385,0.276
"JSOUP-1","evosuite",6,10,15.8,0.968,0.857,0.592
"JSOUP-2","evosuite",6,10,15.6,0.547,0.497,0.363
"JSOUP-3","evosuite",6,10,16.2,0.658,0.396,0.283
"JSOUP-4","evosuite",6,10,16.6,0.723,0.483,0.316
"JSOUP-5","evosuite",6,10,16.8,0.631,0.355,0.234
"OKIO-10","evosuite",6,10,15.2,0.795,0.833,0.767
"OKIO-1","evosuite",6,10,3.3,0.1,0.074,0.016
"OKIO-2","evosuite",6,10,9.2,0.412,0.408,0.204
"OKIO-3","evosuite",6,10,16.7,0.73,0.561,0.279
"OKIO-4","evosuite",6,10,15.7,0.126,0.105,0.102
"OKIO-5","evosuite",6,10,18.6,0.894,0.613,0.456
"OKIO-6","evosuite",6,10,16.6,0.776,0.732,0.805
"OKIO-7","evosuite",6,10,15.2,0.793,0.854,0.544
"OKIO-8","evosuite",6,10,6.2,0.225,0.136,0.068
"OKIO-9","evosuite",6,10,15.1,0.6,0.423,0.256
"REDISSON-10","evosuite",6,10,9,0.293,0.318,0.085
"REDISSON-1","evosuite",6,10,15.3,0.109,0.111,0.009
"REDISSON-2","evosuite",6,10,17.3,0.294,0.395,0
"REDISSON-3","evosuite",6,10,0,0,0,0
"REDISSON-4","evosuite",6,10,16.4,0.133,0,0
"REDISSON-5","evosuite",6,10,14.7,0,0,0
"REDISSON-6","evosuite",6,10,14.1,0,0,0
"REDISSON-7","evosuite",6,10,0,0,0,0
"REDISSON-8","evosuite",6,10,17,0.73,0.583,0.806
"REDISSON-9","evosuite",6,10,16.1,0.906,0.681,0.3
"WEBMAGIC-1","evosuite",6,10,15.8,0.213,0.102,0.246
"WEBMAGIC-2","evosuite",6,10,6,0.172,0.086,0.173
"WEBMAGIC-3","evosuite",6,10,15.3,0.953,0.552,0.338
"WEBMAGIC-4","evosuite",6,10,3.5,0,0,0
"WEBMAGIC-5","evosuite",6,10,3.3,0.118,0.083,0.114
"ZXING-10","evosuite",6,10,16.5,0.865,0.683,0.54
"ZXING-1","evosuite",6,10,17.8,0.408,0.297,0.043
"ZXING-2","evosuite",6,10,9.1,0.117,0.121,0.034
"ZXING-3","evosuite",6,10,15.3,0.973,0.875,0.039
"ZXING-4","evosuite",6,10,15.5,0.89,0.861,0.82
"ZXING-5","evosuite",6,10,14.4,0.48,0.383,0.445
"ZXING-6","evosuite",6,10,16.2,0.43,0.362,0.452
"ZXING-7","evosuite",6,10,16,0.972,0.96,0.727
"ZXING-8","evosuite",6,10,15.2,0.581,0.544,0.31
"ZXING-9","evosuite",6,10,15,0.888,0.897,0.524
"DUBBO-10","jtexpert",6,10,13.1,0.034,0,0
"DUBBO-2","jtexpert",6,10,16,0,0,0
"DUBBO-3","jtexpert",6,10,2.9,0,0,0
"DUBBO-4","jtexpert",6,10,12.3,0.719,0.625,0.629
"DUBBO-5","jtexpert",6,10,12.4,0.954,0.777,0.966
"DUBBO-6","jtexpert",6,10,13.2,0.481,0.547,0.614
"DUBBO-7","jtexpert",6,10,11.3,0.774,0.663,0.801
"DUBBO-8","jtexpert",6,10,13.9,0.763,0.484,0.801
"DUBBO-9","jtexpert",6,10,15.2,0.78,0.676,0.689
"FASTJSON-10","jtexpert",6,10,12.8,0.6,0.5,0.586
"FASTJSON-1","jtexpert",6,10,9.2,0.124,0.113,0.052
"FASTJSON-2","jtexpert",6,10,0,0,0,0
"FASTJSON-3","jtexpert",6,10,9.7,0.078,0.051,0.085
"FASTJSON-4","jtexpert",6,10,16.4,0.497,0.288,0.331
"FASTJSON-5","jtexpert",6,10,14.4,0.494,0.422,0.594
"FASTJSON-6","jtexpert",6,10,13.8,0.686,0.572,0.648
"FASTJSON-7","jtexpert",6,10,13.9,0.724,0.624,0.62
"FASTJSON-8","jtexpert",6,10,14.9,0.677,0.482,0.695
"FASTJSON-9","jtexpert",6,10,12.1,0.435,0.539,0.539
"JSOUP-1","jtexpert",6,10,14.5,0.95,0.824,0.249
"JSOUP-2","jtexpert",6,10,12,0.252,0.261,0.173
"JSOUP-3","jtexpert",6,10,13.4,0.621,0.368,0.758
"JSOUP-4","jtexpert",6,10,6.2,0.166,0.166,0.166
"JSOUP-5","jtexpert",6,10,12.6,0,0,0
"OKIO-10","jtexpert",6,10,12,0,0,0
"OKIO-1","jtexpert",6,10,9,0,0,0
"OKIO-2","jtexpert",6,10,14.9,0.833,0.823,0.932
"OKIO-3","jtexpert",6,10,13.6,0.225,0.161,0.257
"OKIO-4","jtexpert",6,10,13.5,0.148,0.127,0.172
"OKIO-5","jtexpert",6,10,14.2,0,0,0
"OKIO-6","jtexpert",6,10,2.8,0,0,0
"OKIO-7","jtexpert",6,10,11.9,0.418,0.222,0.365
"OKIO-8","jtexpert",6,10,12.3,0,0,0
"OKIO-9","jtexpert",6,10,11.9,0.533,0.423,0.384
"REDISSON-10","jtexpert",6,10,10.5,0.193,0.155,0.215
"REDISSON-1","jtexpert",6,10,12.3,0,0,0
"REDISSON-2","jtexpert",6,10,11.8,0,0,0
"REDISSON-3","jtexpert",6,10,10.3,0,0,0
"REDISSON-4","jtexpert",6,10,10.9,0,0,0
"REDISSON-5","jtexpert",6,10,12.7,0,0,0
"REDISSON-6","jtexpert",6,10,8,0,0,0
"REDISSON-7","jtexpert",6,10,8.5,0.017,0.02,0.035
"REDISSON-8","jtexpert",6,10,13.1,0.673,0.458,0.736
"REDISSON-9","jtexpert",6,10,10.7,0.477,0.424,0.467
"WEBMAGIC-1","jtexpert",6,10,12.8,0,0,0
"WEBMAGIC-2","jtexpert",6,10,3,0,0,0
"WEBMAGIC-3","jtexpert",6,10,16,0.833,0.638,0.833
"WEBMAGIC-4","jtexpert",6,10,2.8,0,0,0
"WEBMAGIC-5","jtexpert",6,10,12.5,0.86,0.683,0.812
"ZXING-10","jtexpert",6,10,14.2,0.814,0.707,0.847
"ZXING-1","jtexpert",6,10,13,0.08,0.037,0.048
"ZXING-2","jtexpert",6,10,2.6,0,0,0
"ZXING-3","jtexpert",6,10,13,0.903,0.734,0.944
"ZXING-4","jtexpert",6,10,13.5,0.431,0.219,0.316
"ZXING-5","jtexpert",6,10,13.3,0.93,0.891,0.657
