benchmark,tool,runs,tgen,texec,avgcovi,avgcovb,avgcovm
"HIBERNATE-3","t3",7,5.4,6.6,0.2782,0.0625,0.3333
"HIBERNATE-4","t3",7,7.2,31.8,0.6154,0.5,0.5
"HIBERNATE-5","t3",7,7.8,31.8,0.6154,0.5,0.5
"HIBERNATE-6","t3",7,5.4,3.6,0.4688,0,0.5
"HIBERNATE-7","t3",7,1.8,9.6,0.5833,0,0.3333
"SCRIBE-8","t3",7,2.4,18,0.7089,0.75,0.8889
"SCRIBE-9","t3",7,12.6,43.2,0.4444,0,0.4
"SCRIBE-10","t3",7,2.4,22.2,0.9765,0.8889,0.9006
"SCRIBE-11","t3",7,11.4,40.2,0.4761,0.3182,0.3953
"SCRIBE-12","t3",7,18,0.6,0,0,0
"SCRIBE-13","t3",7,1.8,19.8,0.7647,0.4375,0.6364
"SCRIBE-14","t3",7,1.2,4.2,1,0,0.5
"TWITTER4J-15","t3",7,3,19.8,0.793,0.6111,0.4571
"TWITTER4J-16","t3",7,3,35.4,0.8032,0.4167,0.6825
"TWITTER4J-17","t3",7,4.8,38.4,0.8149,0.4815,0.6178
"TWITTER4J-18","t3",7,5.4,37.2,0.8217,0.5833,0.76
"TWITTER4J-19","t3",7,1.2,0,0,0,0
"TWITTER4J-20","t3",7,11.4,39,0.5959,0.3367,0.3683
"TWITTER4J-21","t3",7,360.6,0,0,0,0
"ASYNCHTTP-22","t3",7,13.2,63,0.4954,0.2738,0.2154
"ASYNCHTTP-23","t3",7,1.8,0,0,0,0
"ASYNCHTTP-24","t3",7,5.4,42.6,0.8947,0.8679,0.8759
"ASYNCHTTP-25","t3",7,5.4,42.6,0.8711,0.8455,0.8605
"ASYNCHTTP-26","t3",7,7.8,42,0.3148,0.2119,0.2917
"ASYNCHTTP-27","t3",7,1.2,0,0,0,0
"ASYNCHTTP-28","t3",7,561,0.6,0.0424,0.0422,0.0169
"GDATA-29","t3",7,155.4,0.6,0,0,0
"GDATA-30","t3",7,4.2,35.4,0.5116,0.3143,0.5049
"GDATA-31","t3",7,4.2,4.8,0.0362,0,0.0217
"GDATA-32","t3",7,21,73.8,0.5725,0.4575,0.3476
"GDATA-33","t3",7,4.8,48,0.5699,0.5,0.475
"GDATA-34","t3",7,4.8,37.8,0.6234,0.4286,0.4167
"GDATA-35","t3",7,22.8,73.8,0.4645,0.3701,0.4373
"GUAVA-36","t3",7,18.6,3.6,0.2047,0.0733,0.0503
"GUAVA-37","t3",7,12,41.4,0.4914,0.3478,0
"GUAVA-38","t3",7,4.8,10.2,0.321,0.4365,0.2934
"GUAVA-39","t3",7,10.8,36,0.3442,0.0833,0.1681
"GUAVA-40","t3",7,4.2,11.4,0.3942,0.1923,0.2232
"GUAVA-41","t3",7,7.2,37.8,0.4049,0.0797,0.2088
"GUAVA-42","t3",7,4.8,4.2,0.089,0,0.0682
"JWPL-43","t3",7,22.2,0.6,0,0,0
"JWPL-44","t3",7,5.4,3,0.148,0.1429,0.0336
"JWPL-45","t3",7,28.8,0.6,0,0,0
"JWPL-46","t3",7,4.8,20.4,0.4604,0.3605,0.3631
"JWPL-47","t3",7,4.8,0.6,0,0,0
"JWPL-48","t3",7,1.8,29.4,0.5741,0.5,0.5
"JWPL-49","t3",7,360.6,0,0,0,0
"ECLIPSECS-50","t3",7,2.4,0,0,0,0
"ECLIPSECS-51","t3",7,3,4.8,0.2041,0.1667,0.1818
"ECLIPSECS-52","t3",7,3,19.2,0.4476,0.2143,0.1395
"ECLIPSECS-53","t3",7,5.4,42.6,0.7171,0.533,0.5486
"ECLIPSECS-54","t3",7,32.4,4.8,0.176,0.1154,0.1064
"ECLIPSECS-55","t3",7,1.8,21,0.2563,0.11,0.2951
"ECLIPSECS-56","t3",7,2.4,30,0.7473,0.7143,0.6803
"JMLL-57","t3",7,44.4,73.2,0.8667,0.7041,0.7188
"JMLL-58","t3",7,2.4,31.8,1,0,1
"JMLL-59","t3",7,9.6,33,0,0,0
"JMLL-60","t3",7,45.6,78.6,0.8408,0.5625,0.6774
"JMLL-61","t3",7,13.2,44.4,0.3999,0.4,0.5938
"JMLL-62","t3",7,20.4,66,0.9186,0.625,0.7752
"JMLL-63","t3",7,1.8,5.4,0.3644,0.25,0.1667
